TS,Mercato,25percentile,50percentile,75percentile
1636362000000,FR,-0.06836681203164816,0.0027164023808582925,0.10576281533724598
1636362000000,NL,-0.08381662032555992,-0.008135355459499605,0.052210424761290175
1636363800000,NL,-0.05462161887599953,-0.003174575851944413,0.015242289246523533
1636363800000,FR,-0.124573494186001,-0.023026167346814702,0.023932474970286555
1636365600000,FR,-0.11372697008085197,-0.01912051797517965,0.006449415565710458
1636365600000,NL,-0.07181173642231206,-0.0007434707323243864,0.09212061362687866
1636367400000,FR,-0.05769590407236823,-0.010980430027308356,-0.0054013244056410285
1636367400000,NL,-0.03817759091221311,-0.005588122302434788,0.027735869145182685
1636369200000,FR,-0.05702673685658277,-0.00188868751181143,0.039855580556677546
1636369200000,NL,-0.023600842864020637,0.0038685674615022737,0.035167014751697145
1636371000000,NL,-0.05645265010952677,0.000619896563991073,0.02003804234103192
1636371000000,FR,-0.043775217581578416,0.00033679800450320437,0.05850442732277028
1636372800000,FR,-0.051914660894583006,-0.004810706849705337,-0.0076766442379166255
1636372800000,NL,-0.05697390917714444,0.0005257056345901851,0.0393379365071224
1636374600000,FR,-0.01992454394487587,0.007279557904587501,0.06856432172554901
1636374600000,NL,-0.05030666095823026,-0.008856033628253383,0.003225770124193759
1636376400000,NL,-0.01928358836823194,-0.00528035536857111,0.025565403901554616
1636376400000,FR,-0.0356658214770739,0.008257886152843431,0.09087163243391198
1636378200000,NL,-0.007985620119281209,0.0029106273564609847,0.04047599264671278
1636378200000,FR,-0.010883017856169044,0.006273213418329156,0.14321468485777608
1636380000000,FR,-0.05905796832607586,-0.00933981574299397,0.06466069845058124
1636380000000,NL,-0.0541675428776391,-0.014112853399884835,0.02144778165283285
1636381800000,FR,-0.053543879501701384,-0.002724933731821458,0.06645726520459476
1636381800000,NL,-0.008438958710370002,0.0045885718091200674,0.04456512516253572
1636383600000,NL,-0.01525505091878156,-0.0018224712065246901,0.024377094207572003
1636383600000,FR,-0.0575756767614052,-0.009628827957149137,0.03345296431262746
1636385400000,NL,-0.04235362520267123,0.0021738118274691274,0.05358921676032277
1636385400000,FR,-0.15209985392033334,-0.031032799175315946,0.03539749275615527
1636387200000,NL,-0.04338336215614166,-0.011100722823329266,0.10166844506576267
1636387200000,FR,-0.10672685222963582,-0.009218316079850273,0.04354500133677748
1636389000000,FR,-0.0479476369027305,-0.004959701934811837,0.04150642245383046
1636389000000,NL,-0.013251687765321894,-0.004009788485083028,0.027145923015797303
1636390800000,NL,-0.0955789564185189,0.0011014227396420094,0.012896525943903548
1636390800000,FR,-0.09785585545885342,-0.01379270123981526,0.006604270828256284
1636392600000,FR,0.0,0.0,0.0
1636392600000,NL,0.0,0.0,0.0
1636448400000,FR,-0.06365784094663594,0.004770603572182154,0.1673285306969025
1636448400000,NL,-0.0995809065794272,0.02012722337551398,0.10558864756556
1636450200000,NL,-0.02013356737945305,0.0013249805249814436,0.09042885791418157
1636450200000,FR,-0.05897674646127446,-0.00091063668031394,0.09255187142082541
1636452000000,NL,-0.09413268578098025,0.00491505151306094,0.02041754398987125
1636452000000,FR,-0.07062616365237362,-0.0019833718335753366,0.01589614219728843
1636453800000,FR,-0.0022296495205154053,0.0014723475122129818,0.12361416247279002
1636453800000,NL,-0.06786557659093365,-0.014897754281717059,0.04613530947824815
1636455600000,NL,-0.020638033600530854,0.003099035106157076,0.01545422818224064
1636455600000,FR,-0.059257596675464305,-0.0045012938633802345,0.12447789172277472
1636457400000,FR,-0.07158076246398618,-0.001782351528206356,0.016513461755106165
1636457400000,NL,-0.06094710851624312,-0.0018911487329957405,0.013085622021767974
1636459200000,FR,-0.004130896587282901,0.010674104991877532,0.1202464698414426
1636459200000,NL,-0.032155093029722706,0.009761452399833087,0.04386740657912948
1636461000000,NL,-0.04848480253191246,-0.008564258177232133,0.07963372773776038
1636461000000,FR,-0.0705411161424127,0.0015810306587754203,0.03702861642360045
1636462800000,FR,-0.09161659306047742,0.001740053339958489,0.007355539401730286
1636462800000,NL,-0.00946438972996758,-0.0063584524067795455,0.04356452882640016
1636464600000,FR,-0.08886358215700348,-0.004721266904123767,-0.0014847612211116483
1636464600000,NL,-0.13940831309422208,-0.004688454611967622,0.02139958289101023
1636466400000,NL,-0.042967613923021765,0.015359446021323903,0.037778558336608
1636466400000,FR,-0.04816023955040042,-0.0028057719801505756,0.01076390853298275
1636468200000,NL,-0.018851724899335964,-0.001463128360826153,0.07092662105614264
1636468200000,FR,0.0018962021476964797,0.011028952447834799,0.06649667955452035
1636470000000,FR,-0.016002511973065344,0.02482836219415879,0.11669760804343193
1636470000000,NL,-0.02905403876172515,-0.019505094390388285,0.054460363119321765
1636471800000,NL,-0.12934352023788118,-0.03288198018091234,0.010755586191167576
1636471800000,FR,-0.13865211437032848,-0.11490498749445896,-0.0013091240080780938
1636473600000,FR,-0.056873706881703276,0.004253068535444466,0.0537296703239596
1636473600000,NL,-0.011991579296457416,0.003049093705845446,0.02568542474527217
1636475400000,NL,-0.017455535139824507,0.0022121916872449234,0.04467338478017632
1636475400000,FR,-0.04379203766012298,0.004292005851022033,0.04073560130489005
1636477200000,FR,-0.16926788691211359,-0.0248797295005566,0.013501478348593637
1636477200000,NL,-0.05525157176265688,-0.015625938306372426,0.016131585969872464
1636479000000,FR,0.0,0.0,0.0
1636479000000,NL,0.0,4.166666666666578e-05,0.00020370370370369935
