TS,ID,Count,AVG_Last_value
1636329600000,GDS.FR,22.600000000000005,3
1636329600000,GOE.FR,15.62285714285715,105
1636329600000,GLE.FR,29.9339941201177,2381
1636329600000,GNFT.FR,3.11915789473684,95
1636329600000,GLE.FR,30.0802490996398,1666
1636329600000,GNFT.FR,3.161238095238095,21
1636329600000,GNE.FR,94.09,2
1636329600000,GENX.FR,9.0,4
1636329600000,GNRO.FR,3.84,2
1636329600000,GPE.FR,30.2,1
1636329600000,GID.FR,1.2183333333333335,3
1636329600000,GDS.FR,22.6,1
1636329600000,GNFT.FR,3.1535384615384627,26
1636329600000,GOE.FR,15.813913043478255,69
1636329600000,GBT.FR,38.33333333333336,39
1636329600000,GLO.FR,19.55084745762711,59
1636329600000,GLE.FR,29.885587109125865,1567
1636329600000,GFC.FR,122.87215686274507,255
1636329600000,GET.FR,13.959695652173947,230
1636329600000,GENX.FR,9.0,2
1636329600000,GJAJ.FR,1.6,2
1636329600000,GDS.FR,22.6,1
1636329600000,GLO.FR,19.453750000000007,16
1636329600000,GOE.FR,15.927058823529414,17
1636329600000,GNFT.FR,3.1473333333333335,3
1636329600000,GBT.FR,38.415909090909096,22
1636329600000,GID.FR,1.215,4
1636329600000,GFC.FR,123.00755813953492,86
1636329600000,GET.FR,13.95751381215468,181
1636329600000,GLE.FR,29.985101538461556,1625
1636329600000,GNE.FR,94.98500000000001,10
1636329600000,GID.FR,1.215,1
1636329600000,GAM.FR,102.0,2
1636329600000,GBT.FR,38.392857142857146,14
1636329600000,GNFT.FR,3.1589473684210523,19
1636329600000,GLO.FR,19.525,4
1636329600000,GOE.FR,15.968421052631578,19
1636329600000,GET.FR,13.94500000000001,121
1636329600000,GFC.FR,123.31999999999987,130
1636329600000,GLE.FR,30.07053398058257,1854
1636329600000,GDS.FR,22.2,1
1636329600000,GNE.FR,94.405,2
1636329600000,GPE.FR,30.0,1
1636329600000,GID.FR,1.2,3
1636329600000,GBT.FR,38.0,3
1636329600000,GENX.FR,8.995000000000001,8
1636329600000,GFC.FR,123.33209876543208,81
1636329600000,GLO.FR,19.58888888888889,18
1636329600000,GBT.FR,38.08055555555557,18
1636329600000,GET.FR,13.993046875000006,64
1636329600000,GLE.FR,30.063590146750574,954
1636329600000,GOE.FR,16.063157894736843,38
